,Country,Year,Population,GDP/capita,CO2 emissions tonnes/person
0,Australia,1800,351014,815,
1,Bahrain,1800,64474,1235,
2,China,1800,321675013,985,
3,India,1800,168574895,1052,
4,Iran,1800,6269721,977,
5,Kuwait,1800,81280,1097,
6,Qatar,1800,14092,1097,
7,Russia,1800,31088398,1430,
8,Saudi Arabia,1800,2091000,846,
9,Singapore,1800,30000,1021,
10,United Arab Emirates,1800,40153,998,
11,United Kingdom,1800,12327466,3431,2.16208262103501
12,United States,1800,6801854,2128,0.037195741043545
13,Australia,1810,342440,834,
14,Bahrain,1810,64474,1289,
15,China,1810,350542958,985,
16,India,1810,171940819,1051,
17,Iran,1810,6413820,979,
18,Kuwait,1810,81280,1139,
19,Qatar,1810,14092,1139,
20,Russia,1810,31088398,1447,
21,Saudi Arabia,1810,2091000,852,
22,Singapore,1810,30000,1023,
23,United Arab Emirates,1810,40153,1036,
24,United Kingdom,1810,14106058,3575,2.38240813774517
25,United States,1810,8294928,2283,0.050732502080882
26,Australia,1820,334002,853,
27,Bahrain,1820,64474,1346,
28,China,1820,380055273,985,
29,India,1820,176225709,1050,
30,Iran,1820,6608508,980,
31,Kuwait,1820,81280,1182,
32,Qatar,1820,14092,1182,
33,Russia,1820,31861526,1464,
34,Saudi Arabia,1820,2103325,858,
35,Singapore,1820,31761,1024,
36,United Arab Emirates,1820,40153,1075,
37,United Kingdom,1820,16221883,3403,2.62930657143773
38,United States,1820,10361646,2242,0.079354662236699
39,Australia,1830,348143,1399,
40,Bahrain,1830,64474,1405,
41,China,1830,402373519,986,
42,India,1830,182214537,1052,
43,Iran,1830,6898130,999,
44,Kuwait,1830,81280,1228,
45,Qatar,1830,14092,1228,
46,Russia,1830,34134430,1562,0.000333906080991
47,Saudi Arabia,1830,2138414,868,
48,Singapore,1830,37232,1047,
49,United Arab Emirates,1830,40153,1116,
50,United Kingdom,1830,18533999,3661,3.65722387337779
51,United States,1830,13480460,2552,0.157851241292314
52,Australia,1840,434095,2269,
53,Bahrain,1840,64474,1467,
54,China,1840,411213424,986,
55,India,1840,189298397,1053,
56,Iran,1840,7250391,1018,
57,Kuwait,1840,81280,1274,
58,Qatar,1840,14092,1274,
59,Russia,1840,37420913,1666,
60,Saudi Arabia,1840,2186704,879,
61,Singapore,1840,45843,1071,
62,United Arab Emirates,1840,40153,1158,
63,United Kingdom,1840,20737251,4149,3.89430403559144
64,United States,1840,17942443,2792,0.336949371641876
65,Australia,1850,742619,3267,
66,Bahrain,1850,64474,1531,
67,China,1850,402711280,985,
68,India,1850,196657653,1055,
69,Iran,1850,7620641,1037,
70,Kuwait,1850,81280,1323,
71,Qatar,1850,14092,1323,
72,Russia,1850,41023821,1778,0.00172255288028
73,Saudi Arabia,1850,2236084,890,
74,Singapore,1850,56355,1095,
75,United Arab Emirates,1850,40153,1203,
76,United Kingdom,1850,22623571,4480,5.50516534946789
77,United States,1850,24136293,3059,0.840015700498765
78,Australia,1860,1256048,4795,0.210155857214681
79,Bahrain,1860,64469,1715,
80,China,1860,380047548,1023,
81,India,1860,204966302,1056,0.003482685118566
82,Iran,1860,7986219,1057,
83,Kuwait,1860,81014,1373,
84,Qatar,1860,14031,1373,
85,Russia,1860,44966686,1896,0.009376933982255
86,Saudi Arabia,1860,2284384,901,
87,Singapore,1860,69094,1120,
88,United Arab Emirates,1860,40222,1248,
89,United Kingdom,1860,24783522,5268,6.79186858351626
90,United States,1860,31936643,3714,1.49101670730825
91,Australia,1870,1724213,5431,0.338779342723005
92,Bahrain,1870,65422,1921,
93,China,1870,363661158,1099,
94,India,1870,213725049,1058,
95,Iran,1870,8397441,1077,
96,Kuwait,1870,81947,1426,
97,Qatar,1870,14177,1426,
98,Russia,1870,49288504,2023,0.04887000603113
99,Saudi Arabia,1870,2339375,912,
100,Singapore,1870,87515,1145,
101,United Arab Emirates,1870,40889,1296,
102,United Kingdom,1870,27651628,6046,8.30159131764366
103,United States,1870,40821569,4058,2.45254609582405
104,Australia,1880,2253007,7120,1.00470338340161
105,Bahrain,1880,68170,2152,
106,China,1880,365544192,1015,
107,India,1880,223020377,1084,0.00939800724932
108,Iran,1880,8879809,1153,
109,Kuwait,1880,85115,1648,
110,Qatar,1880,14709,1648,
111,Russia,1880,53996807,2158,0.161484573259061
112,Saudi Arabia,1880,2405921,935,
113,Singapore,1880,116144,1509,
114,United Arab Emirates,1880,42682,1498,
115,United Kingdom,1880,30849957,6553,9.6161856671128
116,United States,1880,51256498,5292,3.94047854981701
117,Australia,1890,3088808,7418,1.14236669885205
118,Bahrain,1890,72045,2410,
119,China,1890,377135349,918,
120,India,1890,232819584,1163,0.021028366427962
121,Iran,1890,9418782,1235,
122,Kuwait,1890,89663,1904,
123,Qatar,1890,15478,1904,
124,Russia,1890,59151534,2233,0.284794556226087
125,Saudi Arabia,1890,2480109,958,
126,Singapore,1890,157724,1990,
127,United Arab Emirates,1890,45189,1731,
128,United Kingdom,1890,34215580,7169,10.3516131327855
129,United States,1890,63810074,5646,6.3511263467189
130,Australia,1900,3743708,6688,2.71986099973269
131,Bahrain,1900,76158,2700,
132,China,1900,395184556,894,
133,India,1900,243073946,1194,0.054607817295662
134,Iran,1900,9993084,1322,
135,Kuwait,1900,94474,2201,
136,Qatar,1900,16290,2201,
137,Russia,1900,64836675,3087,0.720464036662224
138,Saudi Arabia,1900,2556758,982,
139,Singapore,1900,215875,2624,
140,United Arab Emirates,1900,47854,2001,
141,United Kingdom,1900,37995759,8013,11.0610743013708
142,United States,1900,77415610,6819,8.68190406374224
143,Australia,1910,4408209,8695,3.98849523809524
144,Bahrain,1910,80495,2717,
145,China,1910,417830774,991,0.044355397846284
146,India,1910,253761202,1391,0.103308373144916
147,Iran,1910,10600670,1416,0.0
148,Kuwait,1910,99530,2544,
149,Qatar,1910,17143,2544,
150,Russia,1910,71044207,3487,0.842429100663077
151,Saudi Arabia,1910,2635671,1007,
152,Singapore,1910,294092,3255,
153,United Arab Emirates,1910,50669,2313,
154,United Kingdom,1910,41804912,8305,11.2468864487094
155,United States,1910,93559186,8287,13.6918480350412
156,Australia,1920,5345428,7867,4.80608435983576
157,Bahrain,1920,87364,2733,
158,China,1920,462750597,1012,0.056755649958004
159,India,1920,267795301,1197,0.145690767655852
160,Iran,1920,11758739,1733,0.453690193299148
161,Kuwait,1920,108683,2353,
162,Qatar,1920,18514,2301,
163,Russia,1920,77871987,1489,0.247456263399838
164,Saudi Arabia,1920,2737469,1036,
165,Singapore,1920,395975,2385,
166,United Arab Emirates,1920,54703,2092,
167,United Kingdom,1920,43825720,8316,10.7588712505909
168,United States,1920,108441644,9181,16.2531507003116
169,Australia,1930,6473803,7714,3.40820322564023
170,Bahrain,1930,95901,2883,
171,China,1930,481222579,1055,0.077607361804484
172,India,1930,285470839,1244,0.167462521949981
173,Iran,1930,13315170,2317,1.36423384474615
174,Kuwait,1930,120719,1867,
175,Qatar,1930,20264,1741,
176,Russia,1930,85369549,3779,1.13623469229863
177,Saudi Arabia,1930,2853764,1034,
178,Singapore,1930,577478,3977,
179,United Arab Emirates,1930,59498,1839,
180,United Kingdom,1930,45957969,8722,9.62402069797526
181,United States,1930,125055606,10139,14.0980528511822
182,Australia,1940,7052012,10057,4.12695257029253
183,Bahrain,1940,105272,5557,28.1997721230536
184,China,1940,509858820,841,0.166090946531569
185,India,1940,324372335,1081,0.181864817949062
186,Iran,1940,15077617,3051,1.76530575950186
187,Kuwait,1940,134088,1538,
188,Qatar,1940,22179,1097,
189,Russia,1940,93588981,5632,3.2239830748081
190,Saudi Arabia,1940,2974999,969,0.717624460417879
191,Singapore,1940,748657,5284,
192,United Arab Emirates,1940,64713,1246,
193,United Kingdom,1940,48235963,10935,9.85961238059691
194,United States,1940,134354133,11320,14.1201374176637
195,Australia,1950,8177344,12073,6.69944503578016
196,Bahrain,1950,115614,16007,11.9566596316415
197,China,1950,544112923,535,0.142899568026616
198,India,1950,376325205,908,0.179173954581007
199,Iran,1950,17119263,3968,0.0
200,Kuwait,1950,152250,4462,2.52871902319197
201,Qatar,1950,24999,1628,14.0811264901192
202,Russia,1950,102798657,7514,4.1068275619208
203,Saudi Arabia,1950,3121336,2128,1.64811852527726
204,Singapore,1950,1022098,5027,
205,United Arab Emirates,1950,69590,1225,
206,United Kingdom,1950,50616012,11135,9.89418789716846
207,United States,1950,157813040,15319,16.0809778456837
208,Australia,1951,8417640,12229,7.0342384906583
209,Bahrain,1951,116919,16689,10.071880883108
210,China,1951,558820362,582,0.179800255082828
211,India,1951,382231042,908,0.184486467310935
212,Iran,1951,17516578,3881,0.389308493812195
213,Kuwait,1951,163632,5745,0.715372999953257
214,Qatar,1951,27475,1973,14.1534054355874
215,Russia,1951,104306354,7424,4.38495397994581
216,Saudi Arabia,1951,3198551,2465,0.0
217,Singapore,1951,1067964,4753,
218,United Arab Emirates,1951,67972,1233,
219,United Kingdom,1951,50620538,11416,10.7686434089381
220,United States,1951,159880756,16198,16.3366544212784
221,Australia,1952,8627052,12084,7.00208185182349
222,Bahrain,1952,119689,17391,10.7638395209381
223,China,1952,570764965,631,0.221810340509565
224,India,1952,388515758,912,0.191116549077601
225,Iran,1952,17933356,3796,0.225612263612075
226,Kuwait,1952,173622,7395,0.0
227,Qatar,1952,29843,2486,6.51709759996423
228,Russia,1952,105969442,7775,4.6202361014884
229,Saudi Arabia,1952,3283299,2854,0.0
230,Singapore,1952,1120277,3312,
231,United Arab Emirates,1952,69813,1240,
232,United Kingdom,1952,50683596,11367,10.4287830945104
233,United States,1952,162280405,16508,15.6705199711762
234,Australia,1953,8821938,12228,6.75608859296116
235,Bahrain,1953,123593,18107,8.08198678573551
236,China,1953,580886559,692,0.227836496428555
237,India,1953,395137696,947,0.191287483135502
238,Iran,1953,18368896,3717,0.206476348462095
239,Kuwait,1953,181957,9521,0.0
240,Qatar,1953,32029,3132,11.4601239777048
241,Russia,1953,107729541,7981,4.80668322092003
242,Saudi Arabia,1953,3372617,3305,0.141888093951747
243,Singapore,1953,1178074,3963,
244,United Arab Emirates,1953,73184,1247,
245,United Kingdom,1953,50792671,11751,10.6331376355294
246,United States,1953,164941716,16974,15.7790223927935
247,Australia,1954,9014508,12694,7.54008065921021
248,Bahrain,1954,128333,18839,8.15947279655194
249,China,1954,589955812,694,0.269519014599855
250,India,1954,402065915,962,0.197530821612159
251,Iran,1954,18822605,3635,0.055046250439053
252,Kuwait,1954,188811,10545,7.39683409180291
253,Qatar,1954,34016,3945,17.9198806649787
254,Russia,1954,109537868,8234,5.16203732945667
255,Saudi Arabia,1954,3464554,3827,0.359599264436706
256,Singapore,1954,1240283,4553,
257,United Arab Emirates,1954,76708,1255,
258,United Kingdom,1954,50938227,12173,10.8471705866634
259,United States,1954,167800046,16558,14.7774274308786
260,Australia,1955,9212824,13082,7.68085718251777
261,Bahrain,1955,133653,19556,10.533474346377
262,China,1955,598574241,706,0.314007768250906
263,India,1955,409280196,963,0.210404689697414
264,Iran,1955,19293998,3554,0.814344288010158
265,Kuwait,1955,194795,11679,9.42919683448392
266,Qatar,1955,35835,4970,11.6867503564738
267,Russia,1955,111355224,8787,5.75731150126936
268,Saudi Arabia,1955,3558164,4432,0.5984889074461
269,Singapore,1955,1305731,4198,
270,United Arab Emirates,1955,79566,1262,
271,United Kingdom,1955,51113711,12531,11.2741814360872
272,United States,1955,170796378,17409,15.9139129879755
273,Australia,1956,9420602,13217,7.75946555607869
274,Bahrain,1956,139332,20266,7.60100482980515
275,China,1956,607167524,736,0.350204597542691
276,India,1956,416771502,993,0.21375583247948
277,Iran,1956,19782699,3783,1.14672106353016
278,Kuwait,1956,200988,12935,5.14703822878618
279,Qatar,1956,37581,6261,13.4969325153374
280,Russia,1956,113152347,9465,6.2121805728395
281,Saudi Arabia,1956,3653563,5132,0.450059321404325
282,Singapore,1956,1373121,4629,
283,United Arab Emirates,1956,81515,1270,
284,United Kingdom,1956,51315724,12572,11.1745911641073
285,United States,1956,173877321,17428,16.3879777617532
286,Australia,1957,9637408,13191,7.7399669977272
287,Bahrain,1957,145185,20938,5.21952646502618
288,China,1957,615992182,780,0.40822626647308
289,India,1957,424541513,959,0.235246421692709
290,Iran,1957,20288440,4211,1.06957284561596
291,Kuwait,1957,208907,14325,10.4579637393875
292,Qatar,1957,39402,7888,7.93428544758704
293,Russia,1957,114909562,9496,6.69462239901532
294,Saudi Arabia,1957,3751876,5942,0.564940152912978
295,Singapore,1957,1441052,4116,1.20098697442652
296,United Arab Emirates,1957,82870,1278,
297,United Kingdom,1957,51543847,12702,11.051479508949
298,United States,1957,176995108,17430,15.9663041026783
299,Australia,1958,9859257,13545,7.88197121529981
300,Bahrain,1958,151067,21541,8.57437696256239
301,China,1958,625155626,889,0.823141354828901
302,India,1958,432601236,1005,0.241146539285996
303,Iran,1958,20811062,4591,1.20740875807634
304,Kuwait,1958,220405,15866,16.6333309307578
305,Qatar,1958,41487,9937,4.08038191084446
306,Russia,1958,116615781,10037,7.04170299953175
307,Saudi Arabia,1958,3855089,6881,0.880722019176812
308,Singapore,1958,1508061,4134,1.52449334965472
309,United Arab Emirates,1958,84420,1433,
310,United Kingdom,1958,51800117,12672,10.7150823660417
311,United States,1958,180107612,16961,15.2085906638845
312,Australia,1959,10079604,14076,8.31744725693575
313,Bahrain,1959,156865,22078,8.4006365540751
314,China,1959,634649557,958,1.1123471802951
315,India,1959,440968677,1002,0.250146494959613
316,Iran,1959,21350524,4863,1.19324094882621
317,Kuwait,1959,237516,17572,15.8962417310139
318,Qatar,1959,44059,12518,4.17891849589326
319,Russia,1959,118266807,9755,7.30016203887603
320,Saudi Arabia,1959,3965811,7968,0.472777696376659
321,Singapore,1959,1572694,4656,1.1447608486279
322,United Arab Emirates,1959,87303,1606,0.129544357165569
323,United Kingdom,1959,52088147,13122,10.4731727425653
324,United States,1959,183178348,17909,15.409502245779
325,Australia,1960,10292328,14346,8.57405752544708
326,Bahrain,1960,162501,22540,3.55734074875122
327,China,1960,644450173,889,1.18591949054768
328,India,1960,449661874,1048,0.269225348990205
329,Iran,1960,21906905,5203,1.69956929607539
330,Kuwait,1960,261962,19461,29.5871600219426
331,Qatar,1960,47309,15769,3.73792078156525
332,Russia,1960,119860289,10496,7.49865437389572
333,Saudi Arabia,1960,4086539,9226,0.662308134776984
334,Singapore,1960,1633718,4990,0.852872896229853
335,United Arab Emirates,1960,92612,1801,0.122397658866598
336,United Kingdom,1960,52410496,13697,11.1191136621156
337,United States,1960,186176524,18059,15.5127572002326
338,Australia,1961,10494911,14126,8.63211185380148
339,Bahrain,1961,167924,22941,10.5934357784171
340,China,1961,654625069,558,0.82750652785374
341,India,1961,458691457,1051,0.285349370760034
342,Iran,1961,22480420,5505,1.61875562047413
343,Kuwait,1961,294639,21554,33.6681936657649
344,Qatar,1961,51355,19865,3.15764064222757
345,Russia,1961,121390327,10908,7.63359178941062
346,Saudi Arabia,1961,4218879,10684,0.856304250318976
347,Singapore,1961,1690353,5520,1.23861488897526
348,United Arab Emirates,1961,100985,2019,0.112318248652181
349,United Kingdom,1961,52765864,13887,11.1330300915376
350,United States,1961,189077076,18170,15.2238645955329
351,Australia,1962,10691220,14742,8.87195846255824
352,Bahrain,1962,173107,23418,9.2361506107777
353,China,1962,665426760,567,0.651705172948348
354,India,1962,468054145,1046,0.30762014639109
355,Iran,1962,23071426,5472,1.61711231079271
356,Kuwait,1962,335161,23871,42.401725862115
357,Qatar,1962,56187,25024,3.41189031846298
358,Russia,1962,122842753,11027,7.9139762362913
359,Saudi Arabia,1962,4362863,12371,1.45068363640299
360,Singapore,1962,1742472,5372,1.47933635130958
361,United Arab Emirates,1962,112240,2264,0.168308438985131
362,United Kingdom,1962,53146634,13897,11.1388081315532
363,United States,1962,191860710,18966,15.5606900154683
364,Australia,1963,10892700,15357,9.26477641517189
365,Bahrain,1963,178048,24022,6.74681567609264
366,China,1963,677332765,635,0.637538142642703
367,India,1963,477729958,1071,0.323658671474906
368,Iran,1963,23680433,5921,1.73864803270701
369,Kuwait,1963,381665,26437,44.3889940534236
370,Qatar,1963,61647,31524,100.137039937353
371,Russia,1963,124193114,10620,8.3912770915294
372,Saudi Arabia,1963,4516663,14325,1.55584814521827
373,Singapore,1963,1790682,5722,1.89818067284613
374,United Arab Emirates,1963,125216,2954,0.180805075691579
375,United Kingdom,1963,53537821,14393,11.255832514626
376,United States,1963,194513911,19497,16.0280736699157
377,Australia,1964,11114995,16098,9.79716882502633
378,Bahrain,1964,182774,24751,8.79195012273166
379,China,1964,690932043,713,0.627551170693154
380,India,1964,487690114,1125,0.309921667511482
381,Iran,1964,24308080,6188,1.94833089822698
382,Kuwait,1964,431366,29279,58.466885766511
383,Qatar,1964,67487,39711,93.5223557238405
384,Russia,1964,125412397,11836,8.8340615172332
385,Saudi Arabia,1964,4677409,16587,1.52458503336607
386,Singapore,1964,1836087,5613,2.01698698816459
387,United Arab Emirates,1964,138220,5021,0.136329610295612
388,United Kingdom,1964,53920055,15067,11.263512210486
389,United States,1964,197028908,20338,16.5184662067148
390,Australia,1965,11368011,16601,10.64775735198
391,Bahrain,1965,187348,25662,6.59150384668359
392,China,1965,706590947,772,0.670049506978439
393,India,1965,497920270,1053,0.334320854732944
394,Iran,1965,24955116,6768,2.14496883636192
395,Kuwait,1965,482173,32427,73.1432623234649
396,Qatar,1965,73543,50024,86.105675146771
397,Russia,1965,126483874,12363,9.28962107851609
398,Saudi Arabia,1965,4843635,19207,0.88161776476856
399,Singapore,1965,1879571,6141,1.34605899994733
400,United Arab Emirates,1965,150318,8534,0.150286569162562
401,United Kingdom,1965,54278349,15292,11.4547284316634
402,United States,1965,199403532,21361,16.9996074119726
403,Australia,1966,11657281,16756,10.3568614691413
404,Bahrain,1966,191782,26651,3.40264452064131
405,China,1966,724490033,826,0.718445903196521
406,India,1966,508402908,1037,0.338680958235232
407,Iran,1966,25624650,7252,2.49213867352579
408,Kuwait,1966,533521,35912,65.6128390747523
409,Qatar,1966,79735,63016,79.2702690188452
410,Russia,1966,127396324,12823,9.73923836528704
411,Saudi Arabia,1966,5015672,22240,1.29355981488762
412,Singapore,1966,1921099,6659,0.351188601639516
413,United Arab Emirates,1966,161077,14505,0.163550707091304
414,United Kingdom,1966,54606608,15494,11.3143070553094
415,United States,1966,201629471,22495,17.6614342327373
416,Australia,1967,11975795,17570,10.8688105491547
417,Bahrain,1967,196203,27726,5.14920566583466
418,China,1967,744365635,719,0.57938607411048
419,India,1967,519162069,1096,0.332354028487417
420,Iran,1967,26318116,7862,2.56864186464283
421,Kuwait,1967,585831,39772,43.2515940658981
422,Qatar,1967,86161,79381,78.1947854553958
423,Russia,1967,128165823,13256,10.1230206465303
424,Saudi Arabia,1967,5196349,25752,4.96498438855149
425,Singapore,1967,1960547,7331,1.55976559650833
426,United Arab Emirates,1967,171781,24652,5.47525186158563
427,United Kingdom,1967,54904680,15777,10.7810749408482
428,United States,1967,203713082,22803,18.1396638856828
429,Australia,1968,12305530,18261,11.0556401773383
430,Bahrain,1968,200953,28802,5.52335959056074
431,China,1968,765570668,669,0.609206710107247
432,India,1968,530274729,1095,0.353660132207027
433,Iran,1968,27032944,8816,3.03224653217286
434,Kuwait,1968,639170,44047,34.9699389428606
435,Qatar,1968,93043,99995,76.6942160696426
436,Russia,1968,128837792,13902,10.3540980239846
437,Saudi Arabia,1968,5389848,29819,5.46091253977061
438,Singapore,1968,1998637,8209,2.71149692709245
439,United Arab Emirates,1968,185312,29634,6.87279523161818
440,United Kingdom,1968,55171084,16357,10.9922629403109
441,United States,1968,205687611,23647,18.6267327197044
442,Australia,1969,12621240,18949,11.4185801164977
443,Bahrain,1969,206469,29943,6.19770634530171
444,China,1969,787191243,732,0.72848452912664
445,India,1969,541844848,1141,0.35215380840115
446,Iran,1969,27765239,9709,2.97745131691072
447,Kuwait,1969,693876,48781,38.5136590057564
448,Qatar,1969,100697,125963,71.8112002242848
449,Russia,1969,129475269,13972,10.730657151493
450,Saudi Arabia,1969,5601649,34527,6.37243017252444
451,Singapore,1969,2036270,9207,3.53829585260653
452,United Arab Emirates,1969,205570,35623,101.94494671515
453,United Kingdom,1969,55406435,16616,11.3413705514784
454,United States,1969,207599308,24147,19.387715121191
455,Australia,1970,12904760,19719,11.5965694040862
456,Bahrain,1970,213102,31232,12.2350283339154
457,China,1970,808510713,848,0.947122148306639
458,India,1970,553943226,1170,0.352291988412592
459,Iran,1970,28514011,10467,3.21021903638699
460,Kuwait,1970,750184,54023,33.246939709466
461,Qatar,1970,109329,158673,69.8148541065119
462,Russia,1970,130126383,14915,11.2296800308532
463,Saudi Arabia,1970,5836394,39979,7.84618993646054
464,Singapore,1970,2074071,10336,8.77907306578262
465,United Arab Emirates,1970,235434,42822,65.7852723146095
466,United Kingdom,1970,55611401,16933,11.7350961148803
467,United States,1970,209485807,23908,20.6647146513791
468,Australia,1971,13150591,20176,11.7618160012715
469,Bahrain,1971,220808,31102,13.8461211425517
470,China,1971,829367784,876,1.04796786131253
471,India,1971,566605402,1154,0.363275029247357
472,Iran,1971,29281130,11475,3.46262809103377
473,Kuwait,1971,807900,63583,33.4534453831237
474,Qatar,1971,119246,160147,77.4215379409526
475,Russia,1971,130808492,15170,11.8549751476953
476,Saudi Arabia,1971,6096106,47016,9.91979403364834
477,Singapore,1971,2112873,11389,7.85252678614812
478,United Arab Emirates,1971,275160,41464,77.7250616753936
479,United Kingdom,1971,55785325,17207,11.8382108732291
480,United States,1971,211357912,24350,20.6115922303996
481,Australia,1972,13364238,20385,11.8964706854087
482,Bahrain,1972,229588,33824,16.1281607558798
483,China,1972,849787991,843,1.0859018671528
484,India,1972,579800632,1125,0.375651318198592
485,Iran,1972,30073845,13019,3.52294066829639
486,Kuwait,1972,866747,62371,31.7446458482203
487,Qatar,1972,130377,162805,83.4474735671854
488,Russia,1972,131517584,15113,12.4049836236136
489,Saudi Arabia,1972,6382106,52961,11.144883485309
490,Singapore,1972,2152603,12711,10.330706486225
491,United Arab Emirates,1972,324069,39798,72.6364954098889
492,United Kingdom,1972,55927492,17793,11.5863756038919
493,United States,1972,213219515,25374,21.4045978287745
494,Australia,1973,13552190,21185,12.6910960306459
495,Bahrain,1973,239860,35688,23.1561467366691
496,China,1973,869474823,894,1.10264038337005
497,India,1973,593451889,1151,0.377949339412629
498,Iran,1973,30903565,13782,4.18909888028491
499,Kuwait,1973,926817,59388,26.0440393205149
500,Qatar,1973,142111,165564,88.512749149189
501,Russia,1973,132254362,16236,12.8554268262215
502,Saudi Arabia,1973,6697486,56842,14.3642077428528
503,Singapore,1973,2191924,13889,9.68033321623927
504,United Arab Emirates,1973,382823,60948,79.9360741080998
505,United Kingdom,1973,56039166,19043,11.768138564403
506,United States,1973,215092900,26567,22.1679634040447
507,Australia,1974,13725400,21383,12.5885375407938
508,Bahrain,1974,252139,36456,21.5597653876277
509,China,1974,888132761,888,1.10077728642981
510,India,1974,607446519,1139,0.381779392294007
511,Iran,1974,31784896,14316,4.52652168332643
512,Kuwait,1974,988267,115159,19.4851217631076
513,Qatar,1974,153593,162379,68.8960427479579
514,Russia,1974,133012558,16594,13.2673623266768
515,Saudi Arabia,1974,7045477,89417,14.1800234218731
516,Singapore,1974,2228896,14499,9.85533514734549
517,United Arab Emirates,1974,451948,149185,69.0678308674913
518,United Kingdom,1974,56122405,18801,10.9941857577324
519,United States,1974,217001865,26258,21.1781759719136
520,Australia,1975,13892674,21708,12.6617601997913
521,Bahrain,1975,266686,33509,21.6963342887313
522,China,1975,905580445,920,1.25186018131511
523,India,1975,621703641,1212,0.405368928572038
524,Iran,1975,32730555,14690,4.25802041174851
525,Kuwait,1975,1051187,91796,15.9680051523776
526,Qatar,1975,164333,160783,67.28283231492
527,Russia,1975,133788113,16530,13.8638078679403
528,Saudi Arabia,1975,7428705,68111,11.3455103800441
529,Singapore,1975,2262393,14743,10.8471193099144
530,United Arab Emirates,1975,531265,167748,58.2277832546784
531,United Kingdom,1975,56179925,18699,10.7334646293555
532,United States,1975,218963561,25934,20.1084478940781
533,Australia,1976,14054956,22372,12.3847792371819
534,Bahrain,1976,283843,41062,23.2930019427566
535,China,1976,921688199,891,1.28508386472117
